,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,584.0,544.0,588.0,584.0,525.0,513.0,505.0,524.0,458.0,438.0,409.0,386.0,398.0,343.0,320.0,336.0,239.0,229.0,238.0,236.0,198.0,181.0,157.0,154.0,127.0,109.0,98.0,89.0,76.0,68.0,54.0,53.0,42.0,35.0,33.0,28.0,21.0,11.0,11.0,9.0,12.0,10.0,5.0,5.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,570.0,584.0,545.0,518.0,552.0,543.0,522.0,501.0,457.0,424.0,424.0,367.0,350.0,364.0,340.0,318.0,270.0,245.0,239.0,203.0,214.0,182.0,154.0,149.0,134.0,122.0,101.0,90.0,88.0,64.0,60.0,48.0,37.0,36.0,31.0,27.0,22.0,18.0,16.0,14.0,15.0,7.0,8.0,7.0,1.0,7.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,533.0,512.0,550.0,508.0,520.0,528.0,509.0,488.0,513.0,432.0,431.0,432.0,363.0,325.0,319.0,284.0,315.0,269.0,247.0,219.0,208.0,170.0,154.0,159.0,134.0,136.0,94.0,113.0,77.0,76.0,54.0,64.0,47.0,34.0,23.0,20.0,18.0,23.0,14.0,13.0,12.0,4.0,13.0,10.0,6.0,5.0,4.0,4.0,5.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,578.0,534.0,544.0,550.0,507.0,539.0,492.0,447.0,474.0,444.0,401.0,385.0,443.0,353.0,328.0,299.0,280.0,267.0,247.0,207.0,214.0,181.0,164.0,146.0,112.0,136.0,102.0,80.0,82.0,67.0,65.0,52.0,42.0,45.0,35.0,28.0,18.0,21.0,11.0,13.0,9.0,14.0,5.0,5.0,7.0,8.0,6.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,522.0,520.0,502.0,564.0,480.0,464.0,486.0,474.0,478.0,444.0,392.0,390.0,381.0,364.0,376.0,319.0,310.0,280.0,242.0,214.0,232.0,172.0,148.0,164.0,143.0,116.0,110.0,91.0,89.0,79.0,66.0,69.0,53.0,39.0,28.0,24.0,28.0,23.0,23.0,18.0,24.0,10.0,12.0,8.0,8.0,7.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,575.0,523.0,519.0,483.0,505.0,489.0,462.0,456.0,424.0,462.0,429.0,402.0,381.0,350.0,290.0,329.0,290.0,271.0,261.0,243.0,247.0,172.0,152.0,161.0,155.0,113.0,116.0,93.0,95.0,65.0,46.0,58.0,61.0,47.0,44.0,47.0,32.0,30.0,15.0,20.0,17.0,8.0,12.0,13.0,12.0,9.0,2.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,505.0,539.0,548.0,509.0,450.0,480.0,451.0,448.0,403.0,431.0,396.0,384.0,350.0,329.0,345.0,293.0,300.0,270.0,268.0,237.0,211.0,196.0,191.0,178.0,181.0,126.0,120.0,114.0,111.0,94.0,65.0,64.0,63.0,55.0,42.0,50.0,38.0,16.0,33.0,17.0,20.0,13.0,9.0,12.0,12.0,4.0,7.0,5.0,5.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,520.0,494.0,480.0,489.0,488.0,462.0,485.0,447.0,396.0,411.0,374.0,357.0,354.0,341.0,333.0,311.0,308.0,280.0,245.0,228.0,238.0,216.0,191.0,173.0,147.0,159.0,143.0,122.0,102.0,118.0,84.0,72.0,65.0,53.0,40.0,37.0,38.0,19.0,25.0,30.0,18.0,20.0,14.0,12.0,13.0,5.0,9.0,4.0,6.0,5.0,3.0,0.0,3.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,492.0,496.0,450.0,423.0,462.0,441.0,477.0,418.0,424.0,441.0,367.0,385.0,395.0,326.0,318.0,284.0,307.0,286.0,264.0,236.0,224.0,217.0,209.0,178.0,166.0,181.0,132.0,132.0,120.0,98.0,74.0,68.0,68.0,72.0,54.0,39.0,40.0,33.0,33.0,26.0,21.0,20.0,20.0,18.0,16.0,4.0,10.0,8.0,4.0,4.0,4.0,5.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,439.0,457.0,426.0,478.0,473.0,425.0,424.0,416.0,399.0,421.0,368.0,389.0,375.0,360.0,326.0,317.0,260.0,280.0,247.0,240.0,254.0,220.0,196.0,192.0,167.0,182.0,147.0,142.0,143.0,99.0,98.0,94.0,73.0,60.0,68.0,48.0,39.0,35.0,43.0,30.0,24.0,14.0,12.0,18.0,15.0,18.0,12.0,10.0,4.0,7.0,4.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
