,0,1,2,3,4,5,6,7,8,9
0,4828.0,3228.0,1375.0,441.0,110.0,16.0,2.0,0.0,0.0,0.0
1,3291.0,3071.0,2152.0,1036.0,349.0,94.0,5.0,2.0,0.0,0.0
2,1357.0,2181.0,2775.0,2214.0,1050.0,332.0,79.0,11.0,1.0,0.0
3,415.0,1088.0,2210.0,2652.0,2092.0,1072.0,381.0,77.0,11.0,2.0
4,89.0,334.0,1028.0,2180.0,2751.0,2112.0,1077.0,341.0,75.0,13.0
5,18.0,88.0,352.0,1020.0,2173.0,2741.0,2097.0,1063.0,345.0,103.0
6,1.0,8.0,93.0,344.0,1017.0,2165.0,2749.0,2106.0,1101.0,416.0
7,1.0,2.0,14.0,97.0,354.0,1052.0,2111.0,2741.0,2224.0,1404.0
8,0.0,0.0,1.0,14.0,89.0,336.0,1069.0,2239.0,3127.0,3125.0
9,0.0,0.0,0.0,2.0,15.0,80.0,430.0,1420.0,3116.0,4937.0
