,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,300.0,352.0,360.0,328.0,332.0,376.0,347.0,323.0,345.0,368.0,333.0,367.0,327.0,333.0,333.0,341.0,350.0,338.0,343.0,315.0,337.0,331.0,328.0,316.0,325.0,334.0,273.0,318.0,309.0,318.0
1,370.0,321.0,362.0,319.0,329.0,351.0,332.0,328.0,338.0,351.0,364.0,345.0,355.0,340.0,338.0,374.0,333.0,332.0,303.0,327.0,313.0,300.0,352.0,314.0,326.0,330.0,340.0,312.0,312.0,289.0
2,348.0,339.0,359.0,396.0,317.0,344.0,324.0,362.0,336.0,329.0,363.0,335.0,331.0,320.0,335.0,296.0,336.0,362.0,332.0,337.0,306.0,337.0,336.0,298.0,322.0,310.0,322.0,341.0,319.0,308.0
3,350.0,366.0,359.0,352.0,350.0,369.0,370.0,360.0,315.0,338.0,345.0,323.0,320.0,347.0,309.0,341.0,315.0,326.0,347.0,323.0,313.0,314.0,304.0,338.0,338.0,294.0,337.0,311.0,309.0,317.0
4,332.0,344.0,329.0,353.0,363.0,342.0,396.0,308.0,344.0,359.0,327.0,356.0,357.0,338.0,314.0,339.0,309.0,311.0,331.0,310.0,304.0,322.0,359.0,331.0,331.0,310.0,310.0,301.0,361.0,309.0
5,375.0,368.0,307.0,366.0,323.0,342.0,332.0,349.0,374.0,306.0,341.0,313.0,348.0,322.0,333.0,364.0,334.0,310.0,314.0,343.0,335.0,333.0,329.0,323.0,321.0,285.0,311.0,311.0,354.0,334.0
6,361.0,351.0,337.0,330.0,347.0,325.0,328.0,361.0,334.0,340.0,322.0,298.0,327.0,340.0,332.0,311.0,326.0,339.0,321.0,362.0,350.0,306.0,348.0,329.0,352.0,341.0,308.0,327.0,347.0,300.0
7,357.0,347.0,321.0,337.0,337.0,315.0,346.0,326.0,340.0,339.0,363.0,345.0,344.0,361.0,370.0,313.0,347.0,291.0,370.0,339.0,337.0,312.0,313.0,316.0,345.0,315.0,313.0,330.0,320.0,291.0
8,338.0,308.0,336.0,372.0,349.0,354.0,351.0,317.0,391.0,347.0,339.0,318.0,362.0,343.0,333.0,332.0,319.0,354.0,352.0,319.0,340.0,298.0,328.0,355.0,334.0,305.0,293.0,310.0,286.0,317.0
9,338.0,309.0,322.0,343.0,333.0,347.0,313.0,353.0,351.0,366.0,325.0,326.0,320.0,316.0,304.0,362.0,349.0,354.0,327.0,326.0,350.0,318.0,313.0,336.0,371.0,331.0,336.0,306.0,325.0,330.0
10,315.0,380.0,359.0,367.0,328.0,339.0,335.0,306.0,364.0,352.0,354.0,324.0,317.0,309.0,344.0,345.0,318.0,335.0,339.0,319.0,337.0,337.0,325.0,307.0,309.0,335.0,328.0,328.0,321.0,324.0
11,341.0,320.0,344.0,348.0,326.0,354.0,328.0,336.0,363.0,327.0,368.0,353.0,325.0,317.0,343.0,312.0,327.0,323.0,321.0,371.0,329.0,344.0,347.0,328.0,320.0,303.0,319.0,345.0,325.0,293.0
12,341.0,322.0,347.0,356.0,319.0,328.0,329.0,323.0,321.0,303.0,335.0,295.0,352.0,379.0,305.0,343.0,354.0,323.0,337.0,324.0,341.0,333.0,323.0,356.0,352.0,338.0,336.0,367.0,309.0,309.0
